step,total,lm,rec,kl
1160,5.61413,4.589872,1.018732,552.627319
1170,6.669656,5.617056,1.048101,449.945679
1180,6.2989,5.407149,0.886954,479.663452
1190,6.183745,5.216308,0.962802,463.513062
1200,6.27141,5.386767,0.879921,472.244141
1210,5.966208,5.01335,0.948135,472.330811
1220,6.316621,5.421255,0.890463,490.286591
1230,5.948006,5.011874,0.930921,520.992859
1240,6.23342,5.370687,0.857205,552.747681
1250,5.690733,4.784031,0.90137,533.254395
1260,6.515736,5.181814,1.328801,512.023438
1270,6.2905,4.927047,1.358186,526.648621
1280,5.900242,4.969111,0.926142,498.857635
1290,5.962674,4.999213,0.958642,481.927277
1300,6.192986,5.348928,0.838949,510.829132
1310,5.400061,4.395921,0.999181,495.897247
1320,6.013024,5.057115,0.951243,466.597229
1330,5.556749,4.673988,0.877787,497.383575
1340,5.351809,4.463227,0.88363,495.170532
1350,5.820208,4.899498,0.915864,484.575745
1360,5.383323,4.441654,0.93661,505.952423
1370,5.763844,4.855803,0.902936,510.424622
1380,5.882679,4.962867,0.914607,520.487183
1390,5.306134,4.395196,0.90569,524.75177
1400,5.50891,4.604311,0.89928,531.862
1410,6.507328,5.200625,1.301373,533.002258
1420,5.97476,5.157656,0.811758,534.612122
1430,5.165814,4.262749,0.897754,531.135254
1440,5.987297,5.194389,0.787523,538.543884
1450,6.261272,5.240626,1.015598,504.757324
1460,5.857079,5.031878,0.819385,581.614868
1470,5.412924,4.626446,0.780647,583.093323
1480,5.416751,4.612906,0.798061,578.468567
1490,6.207172,4.959194,1.242015,596.355164
1500,5.813748,4.913287,0.894515,594.575684
1510,6.311926,5.528216,0.777942,576.819214
1520,5.648891,4.848245,0.794991,565.55481
1530,5.670249,4.746249,0.91842,557.963379
1540,5.8946,5.130722,0.758182,569.585327
1550,5.560085,4.790718,0.76365,571.668396
1560,5.704462,4.906649,0.792083,573.025696
1570,5.722748,4.894119,0.822938,569.159546
1580,5.81887,5.060566,0.752667,563.611816
1590,5.816757,5.01284,0.798287,563.001953
1600,5.637847,4.814687,0.817635,552.576843
1610,5.565516,4.756626,0.803392,549.827759
1620,5.165822,4.278047,0.882302,547.259338
1630,6.190317,5.442723,0.741962,563.159973
1640,6.461445,5.707119,0.748609,571.789246
1650,5.940853,5.17416,0.760939,575.370544
1660,5.202641,4.374481,0.822507,565.22644
1670,5.768886,4.922069,0.841085,573.211853
1680,6.008036,5.224509,0.777847,567.921143
1690,5.073091,4.241329,0.826244,551.797302
1700,5.272248,4.448785,0.817783,567.928955
1710,5.20622,4.407583,0.793034,560.322632
1720,5.785375,5.009729,0.769834,581.097717
1730,5.67383,4.913558,0.754478,579.337646
1740,5.5795,4.854357,0.719371,577.273743
1750,6.34287,5.478077,0.859115,567.720154
1760,6.072875,5.364674,0.702578,562.23999
1770,5.53277,4.731679,0.795622,546.869019
1780,5.097281,4.364381,0.727425,547.481934
1790,5.503913,4.718727,0.779858,532.86554
1800,4.931203,4.13638,0.789241,558.208435
1810,5.827259,5.077559,0.743889,581.094055
1820,6.278129,4.965165,1.307003,596.121948
1830,5.494997,4.621101,0.867949,594.665833
1840,6.033525,5.254564,0.772848,611.251526
1850,5.81662,4.980842,0.829681,609.733215
1860,5.204243,4.393222,0.805206,581.514587
1870,5.586919,4.708673,0.87253,571.581177
1880,5.154326,4.204926,0.943763,563.739868
1890,5.966616,5.129735,0.831271,561.111084
1900,5.510129,4.754315,0.750065,574.941895
1910,5.583208,4.828527,0.748972,570.754395
1920,5.875284,5.06282,0.806795,566.852173
1930,5.442341,4.744942,0.691855,554.457458
1940,5.590567,4.753825,0.831273,546.799072
1950,5.64542,4.902473,0.737325,562.172241
1960,6.247254,5.523691,0.717982,558.094788
1970,5.808187,5.006542,0.795999,564.575134
1980,5.70432,4.852579,0.846377,536.43103
1990,5.80647,5.004311,0.796753,540.585205
2000,5.411483,4.597766,0.808384,533.34967
2010,5.490306,4.584939,0.900513,485.357208
2020,5.451918,4.564377,0.88268,486.044067
2030,5.804904,4.929544,0.870124,523.672668
2040,5.916204,5.110423,0.800668,511.359039
2050,5.520039,4.740767,0.773881,539.159302
2060,5.825976,5.078538,0.741911,552.749207
2070,5.321508,4.585084,0.731014,540.958313
2080,5.564848,4.844117,0.715074,565.710388
2090,5.447075,4.648948,0.792311,581.569946
2100,5.031438,4.274211,0.751484,574.279419
2110,5.559219,4.768494,0.78492,580.469604
2120,5.482321,4.451485,1.024911,592.524963
2130,5.34409,4.595543,0.742757,578.916626
2140,6.182886,5.459013,0.718145,572.774536
2150,5.945146,5.232677,0.706654,581.479736
2160,5.080428,4.300341,0.774275,581.292786
2170,5.388601,4.650975,0.731745,588.176575
2180,6.548004,5.341929,1.200011,606.305298
2190,5.147144,4.39761,0.743795,573.920471
2200,5.448549,4.766094,0.676473,598.245117
2210,5.082265,4.36818,0.708065,602.071594
2220,5.217556,4.498707,0.712775,607.283386
2230,4.984732,4.277335,0.701318,607.899902
2240,4.842507,4.052278,0.784201,602.771729
2250,5.405788,4.64217,0.757721,589.710938
2260,5.40689,4.616848,0.784173,586.984131
2270,5.733078,4.976004,0.751199,587.56604
2280,5.579946,4.83582,0.738473,565.32019
2290,5.62203,4.880426,0.735972,563.189636
2300,5.460382,4.705686,0.749147,554.944092
2310,5.608558,4.879634,0.723234,568.855774
2320,5.515892,4.758136,0.752059,569.64209
2330,5.056466,4.277873,0.772659,593.41803
2340,5.460959,4.733781,0.721108,607.017456
2350,5.038322,4.233851,0.798256,621.546204
2360,5.126233,4.361591,0.758476,616.57782
2370,5.345633,4.524674,0.814892,606.577393
2380,5.439089,4.601382,0.83232,538.665222
2390,5.379348,4.591181,0.78232,584.634277
2400,5.229505,4.384594,0.839235,567.586182
2410,5.577029,4.865166,0.705991,587.220093
2420,5.967752,5.257102,0.704749,590.246826
2430,5.364822,4.647482,0.711764,557.629089
2440,5.457082,4.747327,0.704125,563.058899
2450,4.888839,4.089066,0.794055,571.760376
2460,5.603228,4.886052,0.711628,554.904236
2470,5.914628,4.79154,1.117462,562.607422
2480,5.078047,4.378415,0.694411,522.104553
2490,5.519957,4.758072,0.756386,549.816589
2500,5.06056,4.34349,0.711626,544.415039
2510,5.50424,4.834475,0.664285,547.909668
2520,4.855797,3.961812,0.888387,559.761841
2530,5.277765,4.074563,1.197453,574.949951
2540,4.903088,4.124792,0.772652,564.435181
2550,5.413465,4.689995,0.71764,583.124023
2560,5.670396,4.986243,0.678304,584.913757
2570,4.903988,4.153066,0.745114,580.86554
2580,4.699313,3.976282,0.717192,583.783325
2590,4.711938,3.98898,0.71714,581.774353
2600,5.433717,4.753024,0.675031,566.132568
2610,5.272061,4.49663,0.76951,592.060303
2620,5.140308,4.41206,0.722371,587.713684
2630,4.984707,4.249466,0.729351,588.966125
2640,4.933822,4.194407,0.733493,592.113586
2650,5.662047,4.9259,0.730398,574.980408
2660,5.501906,4.740658,0.755411,583.678894
2670,5.542348,4.799132,0.737279,593.774231
2680,5.67028,4.956228,0.708038,601.292053
2690,5.150278,4.493777,0.650495,600.52771
2700,5.469328,4.793301,0.670336,569.170105
2710,5.388848,4.65485,0.728054,594.433594
2720,5.773268,5.105453,0.661831,598.394775
2730,4.93885,4.199403,0.733594,585.282043
2740,5.632682,4.911919,0.714676,608.710449
2750,5.187346,4.433547,0.747952,584.686829
2760,5.318058,4.586332,0.725849,587.654175
2770,4.612965,3.842572,0.764433,596.022339
2780,4.516163,3.753114,0.757024,602.534546
2790,5.228236,4.55426,0.667977,599.906555
2800,5.673894,4.978763,0.689066,606.603088
2810,5.526796,4.848681,0.672083,603.139099
2820,5.056498,4.289983,0.760404,611.109375
2830,4.825816,4.129839,0.690091,588.633057
2840,5.156906,4.397037,0.753849,602.088989
2850,5.397006,4.633903,0.757206,589.775269
2860,5.379271,4.711164,0.662265,584.189331
2870,4.752769,3.99951,0.747395,586.518738
2880,4.990975,4.234086,0.750987,590.170593
2890,5.755088,5.033511,0.716509,506.820557
2900,4.950545,3.73808,1.206638,582.741882
2910,4.69037,3.932506,0.752158,570.546387
2920,5.295421,4.627849,0.66202,555.223816
2930,5.084135,4.395572,0.682775,578.830017
2940,4.900126,4.246482,0.647888,575.565002
2950,4.205496,3.487141,0.712492,586.222473
2960,4.939705,4.259601,0.674079,602.630249
2970,5.250249,4.53183,0.712629,579.088867
2980,4.503887,3.831019,0.66677,609.776001
2990,4.926294,4.291776,0.628433,608.526917
3000,4.668963,4.005093,0.657742,612.769043
3010,5.116344,4.458493,0.651912,593.962219
3020,5.141262,4.506372,0.629077,581.263977
3030,4.21969,3.493701,0.720049,593.951355
3040,4.677727,4.021013,0.650881,583.307007
3050,5.948357,4.781087,1.161415,585.507324
3060,4.412748,3.722397,0.684451,590.078613
3070,5.177624,4.519706,0.652021,589.714172
3080,4.709966,4.000272,0.703737,595.648499
3090,4.23893,3.554621,0.678481,582.759949
3100,4.102157,3.401873,0.694326,595.773438
3110,4.797305,4.09113,0.700366,580.899353
3120,4.873886,4.169159,0.698913,581.40448
3130,4.536389,3.878168,0.652355,586.601624
3140,4.372645,3.71547,0.65112,605.587097
3150,4.455428,3.798976,0.650365,608.603271
3160,5.249202,4.631005,0.612411,578.544128
3170,5.417064,4.764218,0.646754,609.225525
3180,4.840457,4.222057,0.612428,597.120178
3190,5.448841,4.788827,0.654304,570.936218
3200,5.007578,4.396496,0.605331,575.083496
3210,4.305476,3.578662,0.720941,587.371582
3220,4.866423,4.13468,0.725917,582.593811
3230,5.217938,4.537801,0.674385,575.198059
3240,5.40872,4.745977,0.657009,573.390808
3250,4.136611,2.944578,1.186279,575.443115
3260,4.773592,4.027824,0.739856,591.231262
3270,4.03535,3.298831,0.730659,585.988037
3280,4.870522,4.137444,0.727141,593.736084
3290,4.241547,3.524476,0.711319,575.143433
3300,3.899993,3.219595,0.674745,565.270142
3310,5.722975,5.118545,0.599042,538.814087
3320,5.197529,4.527408,0.664734,538.751343
3330,4.503083,3.821724,0.675652,570.65741
3340,4.331841,3.61205,0.714062,572.85791
3350,4.328648,3.638127,0.68477,575.172424
3360,5.068726,3.955842,1.106979,590.556213
3370,4.347515,3.620744,0.720891,588.003113
3380,4.484521,3.814612,0.664059,584.992004
3390,4.20853,3.5023,0.700235,599.5578
3400,5.263519,4.591066,0.666748,570.482483
3410,4.785199,4.151949,0.627288,596.208557
3420,4.316913,3.584283,0.72658,604.969849
3430,3.854887,3.122098,0.726439,635.029297
3440,4.997336,4.296985,0.694102,624.845764
3450,4.451979,3.758962,0.686926,609.181824
3460,4.540059,3.874935,0.659046,607.860779
3470,5.242087,4.102929,1.133147,601.152527
3480,3.425382,2.697984,0.721609,578.826111
3490,4.738778,4.109444,0.623389,594.476807
3500,4.356091,3.60405,0.745858,618.253845
3510,4.133453,3.421718,0.705629,610.567688
3520,5.511692,4.346011,1.159826,585.518311
3530,4.6652,3.976737,0.682667,579.661133
3540,4.897406,4.260992,0.630678,573.572083
3550,4.513764,3.798687,0.709339,573.734375
3560,4.531383,3.867746,0.657911,572.573669
3570,4.992439,4.366831,0.619969,563.954834
3580,4.600253,3.940358,0.654172,572.39856
3590,4.802084,4.100809,0.695559,571.61969
3600,4.861273,4.219392,0.63626,562.109985
3610,4.97496,4.325798,0.64317,599.259827
3620,4.41001,3.748395,0.655492,612.263977
3630,4.808466,4.13665,0.665627,618.959534
3640,4.470305,3.826472,0.637691,614.241455
3650,4.652864,3.987443,0.659273,614.899841
3660,3.48808,2.756571,0.725299,621.076477
3670,3.994385,3.259145,0.728821,641.855286
3680,4.314697,3.55989,0.74857,623.676819
3690,4.503079,3.78035,0.71658,614.909058
3700,5.031404,3.97767,1.04776,597.340698
3710,4.354754,3.678224,0.670572,595.877686
3720,4.46612,3.781209,0.679046,586.46582
3730,4.493192,3.810451,0.677012,572.866455
3740,4.614249,4.01692,0.591759,556.990417
3750,4.445135,3.758651,0.680804,567.850281
3760,4.241772,3.567451,0.668651,566.987305
3770,4.37057,3.638883,0.72629,539.661255
3780,3.765171,3.013245,0.746346,557.922119
3790,4.431875,3.752182,0.674109,558.459412
3800,4.592245,3.871167,0.715408,566.915344
3810,4.042786,3.334767,0.702335,568.376282
3820,4.966817,4.321031,0.640345,544.20929
3830,4.048988,3.373501,0.669998,548.899536
3840,3.896448,3.248329,0.642536,558.217285
3850,3.893939,3.235346,0.653013,558.092896
3860,4.88235,4.200914,0.676063,537.346985
3870,4.76163,4.074312,0.681667,565.158325
3880,4.406745,3.198028,1.202691,602.624268
3890,4.022787,3.306364,0.71036,606.192627
3900,3.982708,3.239392,0.737269,604.785461
3910,4.542543,3.916619,0.619903,602.136169
3920,4.331369,3.659466,0.665851,605.144653
3930,3.751112,3.055359,0.68981,594.358948
3940,4.447647,3.590446,0.851229,597.239563
3950,4.523995,3.91049,0.607673,583.190796
3960,4.23536,3.577263,0.652164,593.291626
3970,3.364557,2.677016,0.681767,577.406921
3980,4.510703,3.823328,0.681555,582.006897
3990,4.408579,3.759096,0.643661,582.232727
4000,4.900445,3.963301,0.931138,600.606323
4010,3.377281,2.693853,0.677563,586.472168
4020,4.194288,3.590938,0.597618,573.139404
4030,4.295592,3.68608,0.603748,576.383423
4040,4.380336,3.758613,0.615823,589.970032
4050,3.861298,3.158159,0.697205,593.306152
4060,5.950906,4.752762,1.192088,605.618286
4070,4.357487,3.682669,0.668811,600.631592
4080,3.395097,2.691601,0.697605,589.156738
4090,4.535836,3.914847,0.615047,594.258179
4100,4.0494,3.344369,0.699071,596.078918
4110,4.370358,3.567946,0.796568,584.387939
4120,4.569295,3.970756,0.59277,576.868347
4130,5.110332,4.035958,1.068663,571.030212
4140,4.368735,3.751225,0.611763,574.680664
4150,4.169318,3.549227,0.61438,571.096802
4160,3.926896,3.246216,0.675044,563.623047
4170,4.071949,3.461256,0.604982,571.136963
4180,4.154426,3.469191,0.679481,575.308411
4190,4.143201,3.487496,0.650067,563.713623
4200,3.499126,2.830402,0.663046,567.786743
4210,4.401593,3.81274,0.58299,586.253479
4220,4.743257,3.619284,1.117981,599.184692
4230,3.944394,3.347228,0.591293,587.375244
4240,3.969151,3.354946,0.608236,596.776733
4250,3.575457,2.878363,0.691044,605.009094
4260,4.066805,3.390663,0.670144,599.814819
4270,3.954159,3.230464,0.717737,595.880676
4280,4.301644,3.696956,0.59881,587.86438
4290,3.934901,3.306423,0.622675,580.213867
4300,4.173728,3.50688,0.660963,588.350342
4310,4.433965,3.512459,0.915628,587.785278
4320,3.997316,3.358634,0.632869,581.335938
4330,3.618055,2.99121,0.620947,589.833069
4340,3.84244,3.231913,0.604713,581.37207
4350,3.980556,3.318973,0.655697,588.565613
4360,3.576578,2.89254,0.678166,587.276306
4370,4.931026,3.76193,1.163066,603.095093
4380,3.023622,2.362577,0.655207,583.821228
4390,3.896106,2.774849,1.115403,585.366455
4400,4.179913,3.524019,0.650056,583.854919
4410,3.786607,3.116293,0.664562,575.094238
4420,3.547292,2.873732,0.667657,590.344788
4430,3.505344,2.832425,0.667075,584.496277
4440,4.006658,3.381788,0.61914,572.994629
4450,4.144206,3.578124,0.560211,587.050598
4460,3.695336,3.064481,0.62491,594.500427
4470,3.85693,3.241401,0.609675,585.424316
4480,4.249797,3.636405,0.607485,590.722839
4490,4.078829,3.475972,0.596877,598.09668
4500,4.389913,3.840775,0.54326,587.737732
4510,3.560212,2.935542,0.618752,591.835999
4520,4.460683,3.331892,1.122804,598.736511
4530,3.488581,2.850402,0.632437,574.29126
4540,3.977652,3.365433,0.606347,587.192505
4550,3.715952,3.062503,0.647542,590.776611
4560,3.781635,3.102067,0.673588,598.026611
4570,3.916888,3.267302,0.643706,587.933167
4580,4.112288,3.526935,0.57953,582.246338
4590,3.823261,3.236143,0.581215,590.365723
4600,3.537636,2.845656,0.686015,596.436707
4610,3.297193,2.604449,0.686717,602.781494
4620,3.467559,2.757174,0.704463,592.182739
4630,4.006275,3.381677,0.61863,596.751587
4640,3.756103,3.145222,0.604954,592.69104
4650,3.863252,3.223589,0.633712,595.061157
4660,3.395769,2.725356,0.664577,583.580261
4670,4.223292,3.658157,0.559212,592.265259
4680,3.034586,2.384896,0.643941,574.906982
4690,4.573086,3.940159,0.627162,576.497192
4700,3.647584,3.020791,0.620838,595.523743
4710,4.287666,3.624572,0.6573,579.388428
4720,3.893804,3.247708,0.640318,577.82605
4730,3.730064,3.164472,0.559743,584.860291
4740,3.369923,2.756468,0.607729,572.608765
4750,3.482046,2.858551,0.617714,578.061646
4760,3.517745,2.568008,0.943821,591.61853
4770,3.514371,2.832958,0.675396,601.649414
4780,4.351549,3.727074,0.618564,591.030396
4790,3.918502,3.309147,0.603156,619.947571
4800,3.992742,3.415397,0.57114,620.477722
4810,4.166333,3.481412,0.679171,575.013062
4820,3.7513,3.062005,0.6836,569.498779
4830,3.659165,3.037924,0.615368,587.290405
4840,3.743933,3.13286,0.605155,591.760986
4850,3.682179,3.047353,0.629199,562.820374
4860,4.936868,3.789589,1.141274,600.591431
4870,3.526264,2.835824,0.68474,569.908813
4880,3.761761,3.16354,0.592484,573.712219
4890,3.903054,2.810285,1.08692,585.015381
4900,3.597703,2.919255,0.672565,588.312012
4910,4.497097,3.349912,1.141321,586.321045
4920,3.618503,3.044075,0.568574,585.402466
4930,3.022662,2.396174,0.620637,585.067871
4940,4.020841,3.370416,0.644715,571.000854
4950,3.895229,3.260182,0.629232,581.438354
4960,3.453439,2.811156,0.636338,594.53949
4970,3.984086,3.383683,0.59459,581.28772
4980,3.765108,3.144593,0.614529,598.478027
4990,4.038826,3.458412,0.574536,587.73822
5000,3.5655,2.922205,0.637376,591.911438
5010,4.084024,3.426977,0.650982,606.486694
5020,3.842736,3.225949,0.610812,597.493103
5030,3.342657,2.651129,0.685521,600.610779
5040,4.007909,3.366597,0.635318,599.469055
5050,3.291063,2.663483,0.621692,588.733276
5060,3.515795,2.902775,0.607067,595.265442
5070,3.499511,2.85388,0.639589,604.139465
5080,3.280594,2.624191,0.650481,592.192932
5090,4.126471,3.475998,0.644483,598.982117
5100,3.926606,3.309093,0.611689,582.337463
5110,3.300312,2.682956,0.611658,569.740601
5120,3.328121,2.663679,0.658619,582.292297
5130,3.657157,2.979194,0.672089,587.38623
5140,3.657715,3.012765,0.639135,581.427734
5150,3.674245,3.072892,0.595449,590.36554
5160,3.506124,2.859845,0.640422,585.599365
5170,3.876636,3.223778,0.6469,595.70813
5180,3.567807,2.402318,1.159191,629.853455
5190,3.559013,2.94467,0.608334,600.830261
5200,3.539375,2.883986,0.649244,614.444214
5210,3.266718,2.586658,0.674418,564.219849
5220,3.371878,2.747705,0.618131,604.178528
5230,3.733289,3.119632,0.607679,597.813904
5240,3.798238,2.836957,0.955146,613.582153
5250,3.084536,2.402138,0.676264,613.503418
5260,2.428525,1.715117,0.707584,582.456482
5270,3.747196,3.102764,0.638278,615.313477
5280,3.152377,2.501598,0.644993,578.61908
5290,3.742166,3.095349,0.64071,610.674133
5300,3.685261,3.050054,0.629277,592.998413
5310,3.777851,3.205009,0.567068,577.342651
5320,3.162412,2.471254,0.685328,582.898621
5330,3.86656,3.275659,0.584983,591.701477
5340,3.477968,2.869022,0.603159,578.803345
5350,3.310408,2.687598,0.616868,594.234375
5360,3.030575,2.374592,0.649954,602.904663
5370,3.51022,2.895231,0.609077,591.209106
5380,3.509251,2.820365,0.682986,590.010498
5390,3.734193,2.623202,1.105012,597.919067
5400,3.548,2.899162,0.642926,591.20752
5410,3.555335,2.89026,0.659169,590.691284
5420,2.926547,2.312592,0.608109,584.648071
5430,3.206537,2.632519,0.568166,585.250427
5440,4.460631,3.813663,0.641348,561.995117
5450,3.042134,2.42946,0.606763,591.069153
5460,2.657118,2.040406,0.611027,568.484131
5470,3.677142,3.098083,0.573166,589.19574
5480,3.989744,2.821755,1.161958,603.049438
5490,3.494118,2.88684,0.601499,577.90979
5500,3.22653,2.647302,0.573317,591.053223
5510,2.910486,2.258554,0.646004,592.7771
5520,3.406492,2.753997,0.646525,597.011047
5530,3.431842,2.759924,0.665982,593.531372
5540,3.565747,2.957633,0.602155,595.827515
5550,3.132411,2.478606,0.64788,592.532898
5560,3.264829,2.630711,0.628225,589.269409
5570,3.621211,3.012146,0.603197,586.770813
5580,3.548267,2.911188,0.631145,593.393066
5590,3.756927,3.177899,0.573045,598.36908
5600,3.389894,2.776509,0.607465,592.006958
5610,3.363747,2.754348,0.603461,593.800964
5620,3.476343,2.817478,0.652964,590.075134
5630,3.351102,2.750206,0.594971,592.589355
5640,3.317167,2.730782,0.580603,578.216187
5650,3.743453,3.111578,0.625875,599.976135
5660,2.997698,2.370124,0.621762,581.213562
5670,3.144107,2.529744,0.608586,577.715088
5680,3.666335,3.065726,0.594878,573.122864
5690,3.134781,2.496068,0.63282,589.344482
5700,3.252097,2.660532,0.58566,590.504089
5710,3.594357,2.974545,0.613867,594.590332
5720,3.433573,2.744158,0.683461,595.354248
5730,3.425995,2.755356,0.66493,570.858887
5740,3.271911,2.620527,0.645415,596.803772
5750,3.312819,2.670434,0.636418,596.771912
5760,3.233804,2.602296,0.625393,611.431396
5770,3.245552,2.599585,0.639672,629.545044
5780,3.142458,2.508306,0.627961,619.09845
5790,3.331974,2.672598,0.653458,591.74762
5800,3.261084,2.658862,0.596184,603.833374
5810,4.036069,2.943088,1.086758,622.269653
5820,3.113812,2.489697,0.618054,606.118958
5830,3.056774,2.471931,0.578798,604.53656
5840,3.152014,2.516299,0.629775,594.015808
5850,3.088447,2.447632,0.634885,592.99762
5860,3.120737,2.50926,0.605426,605.077698
5870,3.568239,2.984308,0.57788,605.115601
5880,3.400169,2.859845,0.534294,603.051941
5890,3.462167,2.904468,0.551738,596.106018
5900,2.698914,2.073294,0.61959,603.040405
5910,3.441116,2.815608,0.619595,591.301941
5920,3.978389,3.384226,0.588242,592.112427
5930,3.20001,2.536876,0.657172,596.110962
5940,3.289009,2.693405,0.589652,595.301025
5950,3.033215,2.461917,0.565438,585.940369
5960,3.623911,2.982307,0.635805,579.92688
5970,3.392929,2.793328,0.593888,571.235901
5980,3.392109,2.34784,1.038138,613.133057
5990,3.741155,3.154595,0.580506,605.309021
6000,2.95385,2.314834,0.63311,590.559937
6010,3.233768,2.606711,0.621097,596.072144
6020,3.294346,2.64996,0.638418,596.848755
6030,3.90524,3.335546,0.563804,588.967346
6040,3.177012,2.518469,0.652595,594.858398
6050,3.275929,2.623899,0.646125,590.511597
6060,3.067237,2.509117,0.552135,598.533447
6070,3.142426,2.550114,0.586368,594.482117
6080,2.900144,2.293229,0.601024,589.084534
6090,3.545016,2.945032,0.594189,579.475342
6100,3.278934,2.695205,0.577928,580.124573
6110,3.433306,2.827649,0.599829,582.791565
